Time (s)	Channel 1 (V)
-0.0531975	2.0537924210585503
-0.053184999999999996	2.0537924210585468
-0.0531725	2.0462870331106915
-0.05316	2.050039727084621
-0.0531475	2.0462870331106915
-0.053135	2.0462870331106915
-0.053122499999999996	2.0425343391367594
-0.05311	2.035028951188904
-0.0530975	2.023770869267117
-0.053085	2.008760093371401
-0.0530725	1.9975020114496134
-0.053059999999999996	2.0125127873453295
-0.0530475	2.0125127873453295
-0.053035	1.989996623501755
-0.0530225	1.989996623501755
-0.05301	1.9862439295278258
-0.052997499999999996	1.9787385415799676
-0.052985	1.9787385415799676
-0.0529725	1.9637277656842511
-0.05296	1.9637277656842511
-0.0529475	1.959975071710322
-0.052934999999999996	1.9524696837624602
-0.0529225	1.9449642958146054
-0.05291	1.9262008259449597
-0.0528975	1.9299535199188889
-0.052885	1.9149427440231723
-0.052872499999999996	1.9149427440231672
-0.05286	1.903684662101385
-0.0528475	1.8999319681274558
-0.052835	1.8924265801795976
-0.0528225	1.903684662101385
-0.052809999999999996	1.8961792741535235
-0.0527975	1.8886738862056685
-0.052785	1.8811684982578103
-0.0527725	1.8849211922317395
-0.05276	1.869910416336023
-0.0527475	1.862405028388168
-0.052735	1.8586523344142354
-0.0527225	1.8548996404403064
-0.05271	1.847394252492448
-0.0526975	1.8511469464663772
-0.052685	1.839888864544595
-0.0526725	1.8323834765967315
-0.05266	1.8361361705706607
-0.0526475	1.8286307826228025
-0.052635	1.8173727007010152
-0.0526225	1.8136200067270878
-0.05261	1.8023619248052987
-0.0525975	1.7948565368574403
-0.052585	1.7760930669877948
-0.0525725	1.7798457609617238
-0.05256	1.7573295971181593
-0.0525475	1.7610822910920783
-0.052535	1.757329597118149
-0.0525225	1.749824209170291
-0.05251	1.7535769031442199
-0.0524975	1.7423188212224376
-0.052485	1.7310607393006452
-0.0524725	1.727308045326716
-0.05246	1.7198026573788578
-0.0524475	1.7085445754570705
-0.052435	1.7122972694309977
-0.0524225	1.7010391875092121
-0.05241	1.6972864935352832
-0.0523975	1.6860284116134956
-0.052385	1.6860284116134956
-0.0523725	1.6785230236656408
-0.05236	1.6747703296917082
-0.0523475	1.6747703296917082
-0.052335	1.66726494174385
-0.0523225	1.6597595537959917
-0.05231	1.6447487779002823
-0.0522975	1.6297380020045589
-0.052285	1.6222326140567005
-0.0522725	1.6297380020045589
-0.05226	1.6259853080306297
-0.0522475	1.6034691441870652
-0.052235	1.6109745321349132
-0.0522225	1.607221838160984
-0.05221	1.607221838160984
-0.0521975	1.5959637562391966
-0.052185	1.5734475923956321
-0.0521725	1.5696948984216927
-0.05216	1.5621895104738346
-0.0521475	1.5546841225259762
-0.052135	1.5546841225259762
-0.0521225	1.550931428552049
-0.05211	1.5396733466302597
-0.0520975	1.547178734578118
-0.052085	1.5321679586824015
-0.0520725	1.5246625707345434
-0.05206	1.5058991008648976
-0.0520475	1.4983937129170395
-0.052035	1.487135630995252
-0.0520225	1.4758775490734646
-0.05201	1.4758775490734646
-0.0519975	1.460866773177748
-0.051984999999999996	1.4496086912559607
-0.0519725	1.4383506093341734
-0.05196	1.4383506093341734
-0.0519475	1.4383506093341734
-0.051935	1.4421033033081025
-0.051922499999999996	1.4308452213863152
-0.05191	1.4308452213863152
-0.0518975	1.4158344454905987
-0.051885	1.4083290575427403
-0.0518725	1.4045763635688113
-0.051859999999999996	1.3970709756209445
-0.0518475	1.3783075057513072
-0.051835	1.3820601997252364
-0.0518225	1.3745548117773783
-0.05181	1.3595440358816617
-0.051797499999999996	1.35954403588166
-0.051785	1.3557913419077325
-0.0517725	1.3295224840902287
-0.05176	1.337027872038087
-0.0517475	1.3220170961423705
-0.051734999999999996	1.318264402168438
-0.0517225	1.3107590142205832
-0.05171	1.2957482383248666
-0.0516975	1.2919955443509374
-0.051685	1.2844901564030793
-0.051672499999999996	1.276984768455214
-0.05166	1.2619739925595044
-0.0516475	1.2469632166637878
-0.051635	1.2357051347420005
-0.0516225	1.2319524407680713
-0.051609999999999996	1.2281997467941355
-0.0515975	1.2131889708984258
-0.051585	1.216941664872355
-0.0515725	1.1981781950027093
-0.05156	1.1831674191069927
-0.051547499999999996	1.1794147251330602
-0.051535	1.1719093371852054
-0.0515225	1.1681566432112762
-0.05151	1.1493931733416307
-0.0514975	1.1456404793677015
-0.051484999999999996	1.1418877853937723
-0.0514725	1.1418877853937723
-0.05146	1.1231243155241268
-0.0514475	1.1193716215501976
-0.051435	1.1156189275762685
-0.051422499999999996	1.104360845654476
-0.05141	1.0931027637326938
-0.0513975	1.0855973757848354
-0.051385	1.0855973757848354
-0.0513725	1.0780919878369772
