Time (s),Channel 1 (V),TIME
-0.0515475,1.17941472513306,-0.0016625
-0.051535,1.17190933718521,-0.00165
-0.0515225,1.16815664321128,-0.0016375
-0.05151,1.14939317334163,-0.001625
-0.0514975,1.1456404793677,-0.0016125
-0.051485,1.14188778539377,-0.0016
-0.0514725,1.14188778539377,-0.0015875
-0.05146,1.12312431552413,-0.001575
-0.0514475,1.1193716215502,-0.0015625
-0.051435,1.11561892757627,-0.00155
-0.0514225,1.10436084565448,-0.0015375
-0.05141,1.09310276373269,-0.001525
-0.0513975,1.08559737578484,-0.0015125
-0.051385,1.08559737578484,-0.0015
-0.0513725,1.07809198783698,-0.0014875
-0.05136,1.06308121194126,-0.001475
-0.0513475,1.0555758239934,-0.0014625
-0.051335,1.05182313001947,-0.00145
-0.0513225,1.05182313001947,-0.0014375
-0.05131,1.03681235412376,-0.001425
-0.0512975,1.02180157822804,-0.0014125
-0.051285,1.01054349630625,-0.0014
-0.0512725,1.00303810835839,-0.0013875
-0.05126,0.988027332462678,-0.001375
-0.0512475,0.988027332462678,-0.0013625
-0.051235,0.976769250540887,-0.00135
-0.0512225,0.969263862593033,-0.0013375
-0.05121,0.946747698749458,-0.001325
-0.0511975,0.946747698749458,-0.0013125
-0.051185,0.946747698749458,-0.0013
-0.0511725,0.939242310801603,-0.0012875
-0.05116,0.931736922853741,-0.001275
-0.0511475,0.924231534905883,-0.0012625
-0.051135,0.920478840931954,-0.00125
-0.0511225,0.909220759010167,-0.0012375
-0.05111,0.909220759010167,-0.001225
-0.0510975,0.882951901192663,-0.0012125
-0.051085,0.886704595166592,-0.0012
-0.0510725,0.867941125296946,-0.0011875
-0.05106,0.864188431323017,-0.001175
-0.0510475,0.84542496145338,-0.0011625
-0.051035,0.845424961453371,-0.00115
-0.0510225,0.826661491583726,-0.0011375
-0.05101,0.830414185557655,-0.001125
-0.0509975,0.804145327740151,-0.0011125
-0.050985,0.811650715688006,-0.0011
-0.0509725,0.792887245818364,-0.0010875
-0.05096,0.796639939792293,-0.001075
-0.0509475,0.777876469922647,-0.0010625
-0.050935,0.781629163896576,-0.00105
-0.0509225,0.762865694026939,-0.0010375
-0.05091,0.755360306079072,-0.001025
-0.0508975,0.751607612105143,-0.0010125
-0.050885,0.740349530183356,-0.001
-0.0508725,0.729091448261568,-0.000987500000000002
-0.05086,0.729091448261568,-0.000975000000000004
-0.0508475,0.710327978391923,-0.000962499999999998
-0.050835,0.695317202496206,-0.00095
-0.0508225,0.68030642660049,-0.000937500000000001
-0.05081,0.68030642660049,-0.000925000000000002
-0.0507975,0.669048344678708,-0.000912500000000004
-0.050785,0.661542956730844,-0.000899999999999998
-0.0507725,0.650284874809057,-0.000887499999999999
-0.05076,0.63527409891334,-0.000875000000000001
-0.0507475,0.63902679288727,-0.000862500000000002
-0.050735,0.620263323017632,-0.000850000000000004
-0.0507225,0.612757935069766,-0.000837499999999998
-0.05071,0.620263323017624,-0.000824999999999999
-0.0506975,0.605252547121907,-0.000812500000000001
-0.050685,0.597747159174049,-0.000800000000000002
-0.0506725,0.590241771226194,-0.000787500000000003
-0.05066,0.571478301356545,-0.000774999999999998
-0.0506475,0.563972913408687,-0.000762499999999999
-0.050635,0.54896213751297,-0.000750000000000001
-0.0506225,0.541456749565112,-0.000737500000000002
-0.05061,0.533951361617257,-0.000725000000000003
-0.0505975,0.522693279695466,-0.000712499999999998
-0.050585,0.522693279695466,-0.000699999999999999
-0.0505725,0.518940585721537,-0.000687500000000001
-0.05056,0.503929809825821,-0.000675000000000002
-0.0505475,0.500177115851893,-0.000662500000000003
-0.050535,0.492671727904034,-0.000649999999999998
-0.0505225,0.470155564060459,-0.000637499999999999
-0.05051,0.46640287008653,-0.000625000000000001
-0.0504975,0.458897482138671,-0.000612500000000002
-0.050485,0.447639400216884,-0.000600000000000003
-0.0504725,0.440134012269026,-0.000587499999999998
-0.05046,0.436381318295097,-0.000574999999999999
-0.0504475,0.425123236373309,-0.0005625
-0.050435,0.432628624321168,-0.000550000000000002
