SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,NodeSpeed
167,9.728,19,10,DSR,7.5,5
168,8.192,16,10,DSR,7.5,5
169,8.192,16,10,DSR,7.5,5
170,7.68,15,10,DSR,7.5,5
171,8.704,17,10,DSR,7.5,5
172,8.192,16,10,DSR,7.5,5
173,8.192,16,10,DSR,7.5,5
174,8.192,16,10,DSR,7.5,5
175,9.216,18,10,DSR,7.5,5
176,12.8,25,10,DSR,7.5,5
177,34.816,68,10,DSR,7.5,5
178,12.288,24,10,DSR,7.5,5
179,11.776,23,10,DSR,7.5,5
180,10.752,21,10,DSR,7.5,5
181,11.264,22,10,DSR,7.5,5
182,13.312,26,10,DSR,7.5,5
183,10.752,21,10,DSR,7.5,5
184,9.216,18,10,DSR,7.5,5
185,9.216,18,10,DSR,7.5,5
186,10.752,21,10,DSR,7.5,5
187,10.24,20,10,DSR,7.5,5
188,10.24,20,10,DSR,7.5,5
189,10.24,20,10,DSR,7.5,5
190,10.24,20,10,DSR,7.5,5
191,10.24,20,10,DSR,7.5,5
192,9.728,19,10,DSR,7.5,5
193,10.24,20,10,DSR,7.5,5
194,10.24,20,10,DSR,7.5,5
195,10.24,20,10,DSR,7.5,5
196,8.704,17,10,DSR,7.5,5
197,10.24,20,10,DSR,7.5,5
198,10.24,20,10,DSR,7.5,5
199,10.24,20,10,DSR,7.5,5
