SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,NodeSpeed
131,18.432,36,20,DSR,7.5,10
132,20.48,40,20,DSR,7.5,10
133,21.504,42,20,DSR,7.5,10
134,24.064,47,20,DSR,7.5,10
135,17.92,35,20,DSR,7.5,10
136,17.92,35,20,DSR,7.5,10
137,24.064,47,20,DSR,7.5,10
138,17.92,35,20,DSR,7.5,10
139,18.944,37,20,DSR,7.5,10
140,21.504,42,20,DSR,7.5,10
141,22.016,43,20,DSR,7.5,10
142,18.944,37,20,DSR,7.5,10
143,18.944,37,20,DSR,7.5,10
144,18.432,36,20,DSR,7.5,10
145,16.896,33,20,DSR,7.5,10
146,18.944,37,20,DSR,7.5,10
147,13.312,26,20,DSR,7.5,10
148,17.92,35,20,DSR,7.5,10
149,13.824,27,20,DSR,7.5,10
150,14.848,29,20,DSR,7.5,10
151,13.824,27,20,DSR,7.5,10
152,12.288,24,20,DSR,7.5,10
153,13.824,27,20,DSR,7.5,10
154,14.848,29,20,DSR,7.5,10
155,14.848,29,20,DSR,7.5,10
156,13.312,26,20,DSR,7.5,10
157,16.896,33,20,DSR,7.5,10
158,14.336,28,20,DSR,7.5,10
159,14.336,28,20,DSR,7.5,10
160,16.896,33,20,DSR,7.5,10
161,12.8,25,20,DSR,7.5,10
162,14.336,28,20,DSR,7.5,10
163,16.896,33,20,DSR,7.5,10
164,16.384,32,20,DSR,7.5,10
165,14.848,29,20,DSR,7.5,10
166,17.92,35,20,DSR,7.5,10
167,15.36,30,20,DSR,7.5,10
168,11.776,23,20,DSR,7.5,10
169,10.752,21,20,DSR,7.5,10
170,12.8,25,20,DSR,7.5,10
171,15.36,30,20,DSR,7.5,10
172,12.288,24,20,DSR,7.5,10
173,10.24,20,20,DSR,7.5,10
174,8.704,17,20,DSR,7.5,10
175,8.192,16,20,DSR,7.5,10
176,9.216,18,20,DSR,7.5,10
177,8.192,16,20,DSR,7.5,10
178,8.192,16,20,DSR,7.5,10
179,11.264,22,20,DSR,7.5,10
180,9.216,18,20,DSR,7.5,10
181,8.192,16,20,DSR,7.5,10
182,6.656,13,20,DSR,7.5,10
183,12.288,24,20,DSR,7.5,10
184,11.264,22,20,DSR,7.5,10
185,13.312,26,20,DSR,7.5,10
186,13.824,27,20,DSR,7.5,10
187,11.776,23,20,DSR,7.5,10
188,9.216,18,20,DSR,7.5,10
189,9.216,18,20,DSR,7.5,10
190,8.192,16,20,DSR,7.5,10
191,11.776,23,20,DSR,7.5,10
192,10.24,20,20,DSR,7.5,10
193,10.24,20,20,DSR,7.5,10
194,12.288,24,20,DSR,7.5,10
195,12.288,24,20,DSR,7.5,10
196,12.8,25,20,DSR,7.5,10
197,9.728,19,20,DSR,7.5,10
198,9.728,19,20,DSR,7.5,10
199,11.776,23,20,DSR,7.5,10
