SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,NodeSpeed
0,0,0,10,DSR,7.5,1
1,0,0,10,DSR,7.5,1
2,0,0,10,DSR,7.5,1
3,0,0,10,DSR,7.5,1
4,0,0,10,DSR,7.5,1
5,0,0,10,DSR,7.5,1
6,0,0,10,DSR,7.5,1
7,0,0,10,DSR,7.5,1
8,0,0,10,DSR,7.5,1
9,0,0,10,DSR,7.5,1
10,0,0,10,DSR,7.5,1
11,0,0,10,DSR,7.5,1
12,0,0,10,DSR,7.5,1
13,0,0,10,DSR,7.5,1
14,0,0,10,DSR,7.5,1
15,0,0,10,DSR,7.5,1
16,0,0,10,DSR,7.5,1
17,0,0,10,DSR,7.5,1
18,0,0,10,DSR,7.5,1
19,0,0,10,DSR,7.5,1
20,0,0,10,DSR,7.5,1
21,0,0,10,DSR,7.5,1
22,0,0,10,DSR,7.5,1
23,0,0,10,DSR,7.5,1
24,0,0,10,DSR,7.5,1
25,0,0,10,DSR,7.5,1
26,0,0,10,DSR,7.5,1
27,0,0,10,DSR,7.5,1
28,0,0,10,DSR,7.5,1
29,0,0,10,DSR,7.5,1
30,0,0,10,DSR,7.5,1
31,0,0,10,DSR,7.5,1
32,0,0,10,DSR,7.5,1
33,0,0,10,DSR,7.5,1
34,0,0,10,DSR,7.5,1
35,0,0,10,DSR,7.5,1
36,0,0,10,DSR,7.5,1
37,0,0,10,DSR,7.5,1
38,0,0,10,DSR,7.5,1
39,0,0,10,DSR,7.5,1
40,0,0,10,DSR,7.5,1
41,0,0,10,DSR,7.5,1
42,0,0,10,DSR,7.5,1
43,0,0,10,DSR,7.5,1
44,0,0,10,DSR,7.5,1
45,0,0,10,DSR,7.5,1
46,0,0,10,DSR,7.5,1
47,0,0,10,DSR,7.5,1
48,0,0,10,DSR,7.5,1
49,0,0,10,DSR,7.5,1
50,0,0,10,DSR,7.5,1
51,0,0,10,DSR,7.5,1
52,0,0,10,DSR,7.5,1
53,0,0,10,DSR,7.5,1
54,0,0,10,DSR,7.5,1
55,0,0,10,DSR,7.5,1
56,0,0,10,DSR,7.5,1
57,0,0,10,DSR,7.5,1
58,0,0,10,DSR,7.5,1
59,0,0,10,DSR,7.5,1
60,0,0,10,DSR,7.5,1
61,0,0,10,DSR,7.5,1
62,0,0,10,DSR,7.5,1
63,0,0,10,DSR,7.5,1
64,0,0,10,DSR,7.5,1
65,0,0,10,DSR,7.5,1
66,0,0,10,DSR,7.5,1
67,0,0,10,DSR,7.5,1
68,0,0,10,DSR,7.5,1
69,0,0,10,DSR,7.5,1
70,0,0,10,DSR,7.5,1
71,0,0,10,DSR,7.5,1
72,0,0,10,DSR,7.5,1
73,0,0,10,DSR,7.5,1
74,0,0,10,DSR,7.5,1
75,0,0,10,DSR,7.5,1
76,0,0,10,DSR,7.5,1
77,0,0,10,DSR,7.5,1
78,0,0,10,DSR,7.5,1
79,0,0,10,DSR,7.5,1
80,0,0,10,DSR,7.5,1
81,0,0,10,DSR,7.5,1
82,0,0,10,DSR,7.5,1
83,0,0,10,DSR,7.5,1
84,0,0,10,DSR,7.5,1
85,0,0,10,DSR,7.5,1
86,0,0,10,DSR,7.5,1
87,0,0,10,DSR,7.5,1
88,0,0,10,DSR,7.5,1
89,0,0,10,DSR,7.5,1
90,0,0,10,DSR,7.5,1
91,0,0,10,DSR,7.5,1
92,0,0,10,DSR,7.5,1
93,0,0,10,DSR,7.5,1
94,0,0,10,DSR,7.5,1
95,0,0,10,DSR,7.5,1
96,0,0,10,DSR,7.5,1
97,0,0,10,DSR,7.5,1
98,0,0,10,DSR,7.5,1
99,0,0,10,DSR,7.5,1
100,0,0,10,DSR,7.5,1
101,4.608,9,10,DSR,7.5,1
102,17.408,34,10,DSR,7.5,1
103,23.04,45,10,DSR,7.5,1
104,20.48,40,10,DSR,7.5,1
105,20.48,40,10,DSR,7.5,1
106,20.48,40,10,DSR,7.5,1
107,20.48,40,10,DSR,7.5,1
108,20.48,40,10,DSR,7.5,1
109,20.48,40,10,DSR,7.5,1
110,20.48,40,10,DSR,7.5,1
111,18.944,37,10,DSR,7.5,1
112,20.992,41,10,DSR,7.5,1
113,21.504,42,10,DSR,7.5,1
114,16.384,32,10,DSR,7.5,1
115,16.384,32,10,DSR,7.5,1
116,18.432,36,10,DSR,7.5,1
117,22.016,43,10,DSR,7.5,1
118,20.48,40,10,DSR,7.5,1
119,20.48,40,10,DSR,7.5,1
120,20.48,40,10,DSR,7.5,1
121,20.48,40,10,DSR,7.5,1
122,20.48,40,10,DSR,7.5,1
123,20.48,40,10,DSR,7.5,1
124,20.48,40,10,DSR,7.5,1
125,20.48,40,10,DSR,7.5,1
126,20.48,40,10,DSR,7.5,1
127,20.48,40,10,DSR,7.5,1
128,20.48,40,10,DSR,7.5,1
129,20.48,40,10,DSR,7.5,1
130,20.48,40,10,DSR,7.5,1
131,20.48,40,10,DSR,7.5,1
132,20.48,40,10,DSR,7.5,1
133,20.48,40,10,DSR,7.5,1
134,20.48,40,10,DSR,7.5,1
135,20.48,40,10,DSR,7.5,1
136,20.48,40,10,DSR,7.5,1
137,20.48,40,10,DSR,7.5,1
138,20.48,40,10,DSR,7.5,1
139,20.48,40,10,DSR,7.5,1
140,18.432,36,10,DSR,7.5,1
141,18.432,36,10,DSR,7.5,1
142,20.48,40,10,DSR,7.5,1
143,20.48,40,10,DSR,7.5,1
144,20.48,40,10,DSR,7.5,1
145,20.48,40,10,DSR,7.5,1
146,20.48,40,10,DSR,7.5,1
147,20.48,40,10,DSR,7.5,1
148,20.48,40,10,DSR,7.5,1
149,20.48,40,10,DSR,7.5,1
150,20.48,40,10,DSR,7.5,1
151,20.48,40,10,DSR,7.5,1
152,20.48,40,10,DSR,7.5,1
153,20.48,40,10,DSR,7.5,1
154,20.48,40,10,DSR,7.5,1
155,20.48,40,10,DSR,7.5,1
156,20.48,40,10,DSR,7.5,1
157,20.48,40,10,DSR,7.5,1
158,20.48,40,10,DSR,7.5,1
159,20.48,40,10,DSR,7.5,1
160,20.48,40,10,DSR,7.5,1
161,20.48,40,10,DSR,7.5,1
162,20.48,40,10,DSR,7.5,1
163,20.48,40,10,DSR,7.5,1
164,20.48,40,10,DSR,7.5,1
165,20.48,40,10,DSR,7.5,1
166,18.432,36,10,DSR,7.5,1
167,18.432,36,10,DSR,7.5,1
168,18.432,36,10,DSR,7.5,1
169,15.872,31,10,DSR,7.5,1
170,12.288,24,10,DSR,7.5,1
171,12.288,24,10,DSR,7.5,1
172,12.288,24,10,DSR,7.5,1
173,12.288,24,10,DSR,7.5,1
174,12.288,24,10,DSR,7.5,1
175,12.288,24,10,DSR,7.5,1
176,12.288,24,10,DSR,7.5,1
177,11.776,23,10,DSR,7.5,1
178,12.288,24,10,DSR,7.5,1
179,12.288,24,10,DSR,7.5,1
180,12.288,24,10,DSR,7.5,1
181,12.288,24,10,DSR,7.5,1
182,12.288,24,10,DSR,7.5,1
183,12.288,24,10,DSR,7.5,1
184,12.288,24,10,DSR,7.5,1
185,12.288,24,10,DSR,7.5,1
186,12.288,24,10,DSR,7.5,1
187,12.288,24,10,DSR,7.5,1
188,12.288,24,10,DSR,7.5,1
189,12.288,24,10,DSR,7.5,1
190,10.752,21,10,DSR,7.5,1
191,12.8,25,10,DSR,7.5,1
192,12.288,24,10,DSR,7.5,1
193,12.288,24,10,DSR,7.5,1
194,12.288,24,10,DSR,7.5,1
195,12.288,24,10,DSR,7.5,1
196,12.288,24,10,DSR,7.5,1
197,11.264,22,10,DSR,7.5,1
198,12.8,25,10,DSR,7.5,1
199,12.288,24,10,DSR,7.5,1
