time	V(out)	V(n003)
1.402596583819778e-002	2.383079e+000	-4.767672e-002
1.410092288355311e-002	2.400039e+000	-4.801873e-002
1.415151279673315e-002	2.407985e+000	-4.823423e-002
1.420210270991319e-002	2.415132e+000	-4.843744e-002
1.425269262309323e-002	2.421481e+000	-4.862836e-002
1.430328253627328e-002	2.427031e+000	-4.880697e-002
1.435387244945332e-002	2.431782e+000	-4.897329e-002
1.440446236263336e-002	2.435734e+000	-4.912732e-002
1.445505227581340e-002	2.438888e+000	-4.926905e-002
1.465036477581340e-002	2.449151e+000	-4.969868e-002
1.474802102581340e-002	2.452397e+000	-4.984342e-002
1.484567727581340e-002	2.454520e+000	-4.994125e-002
1.494333352581340e-002	2.455594e+000	-4.999208e-002
1.504098977581340e-002	2.455670e+000	-4.999585e-002
1.513864602581340e-002	2.454749e+000	-4.995258e-002
1.523630227581340e-002	2.452807e+000	-4.986229e-002
1.543161477581340e-002	2.445522e+000	-4.954105e-002
1.572458352581340e-002	2.423524e+000	-4.871015e-002
1.586401780977156e-002	2.406031e+000	-4.816930e-002
1.589344610984173e-002	2.400692e+000	-4.804327e-002
1.592287440991190e-002	2.394942e+000	-4.791317e-002
1.595230270998207e-002	2.388781e+000	-4.777899e-002
1.598173101005224e-002	2.382210e+000	-4.764073e-002
1.601115931012241e-002	2.375227e+000	-4.749840e-002
1.604058761019258e-002	2.367833e+000	-4.735198e-002
1.607001591026275e-002	2.360029e+000	-4.720149e-002
1.633052184175140e-002	2.282634e+000	-4.565772e-002
1.659102777324005e-002	2.191795e+000	-4.384395e-002
1.685153370472869e-002	2.087513e+000	-4.176020e-002
1.711203963621734e-002	1.969786e+000	-3.940645e-002
1.737254556770599e-002	1.838616e+000	-3.678271e-002
1.763305149919463e-002	1.694001e+000	-3.388898e-002
1.789355743068328e-002	1.535942e+000	-3.072525e-002
1.810282082354043e-002	1.401509e+000	-2.803582e-002
1.831208421639757e-002	1.262579e+000	-2.525643e-002
1.852134760925472e-002	1.119151e+000	-2.238708e-002
1.873061100211186e-002	9.712270e-001	-1.942777e-002
1.893987439496901e-002	8.188054e-001	-1.637851e-002
1.914913778782616e-002	6.618868e-001	-1.323928e-002
1.935840118068330e-002	5.004711e-001	-1.001011e-002
1.965136993068331e-002	2.732922e-001	-5.465326e-003
1.994433868068331e-002	4.379978e-002	-8.742814e-004
2.023730743068332e-002	-1.860634e-001	3.724164e-003
2.053027618068332e-002	-4.143516e-001	8.291084e-003
2.082324493068332e-002	-6.391323e-001	1.278782e-002
2.111621368068333e-002	-8.585026e-001	1.717630e-002
2.140918243068333e-002	-1.070606e+000	2.141939e-002
2.170215118068334e-002	-1.273646e+000	2.548115e-002
2.193931635925477e-002	-1.432053e+000	2.865004e-002
2.217648153782620e-002	-1.580615e+000	3.162195e-002
2.241364671639763e-002	-1.719332e+000	3.439690e-002
2.265081189496906e-002	-1.848203e+000	3.697489e-002
2.288797707354050e-002	-1.967228e+000	3.935591e-002
2.312514225211193e-002	-2.076408e+000	4.153995e-002
2.336230743068336e-002	-2.175743e+000	4.352704e-002
2.346708471746452e-002	-2.215160e+000	4.431503e-002
2.357186200424568e-002	-2.252076e+000	4.505316e-002
2.367663929102684e-002	-2.286489e+000	4.574144e-002
2.378141657780800e-002	-2.318401e+000	4.637986e-002
2.388619386458916e-002	-2.347811e+000	4.696843e-002
2.399097115137032e-002	-2.374719e+000	4.750715e-002
2.409574843815148e-002	-2.399125e+000	4.799601e-002
2.414420653264145e-002	-2.406926e+000	4.820386e-002
2.419266462713142e-002	-2.413954e+000	4.840044e-002
2.424112272162140e-002	-2.420209e+000	4.858575e-002
2.428958081611136e-002	-2.425691e+000	4.875979e-002
2.433803891060134e-002	-2.430400e+000	4.892256e-002
2.438649700509131e-002	-2.434336e+000	4.907406e-002
2.443495509958128e-002	-2.437498e+000	4.921428e-002
2.463026759958128e-002	-2.448343e+000	4.966308e-002
2.482558009958128e-002	-2.454173e+000	4.992495e-002
2.492323634958129e-002	-2.455455e+000	4.998546e-002
2.502089259958129e-002	-2.455735e+000	4.999892e-002
2.511854884958129e-002	-2.455021e+000	4.996533e-002
2.521620509958129e-002	-2.453292e+000	4.988471e-002
2.541151759958129e-002	-2.446532e+000	4.958273e-002
2.560683009958130e-002	-2.434385e+000	4.909414e-002
2.585478495571796e-002	-2.407443e+000	4.820798e-002
2.587868479848549e-002	-2.403507e+000	4.810700e-002
2.590258464125302e-002	-2.399199e+000	4.800333e-002
2.592648448402054e-002	-2.394518e+000	4.789695e-002
2.595038432678807e-002	-2.389464e+000	4.778788e-002
2.597428416955560e-002	-2.384037e+000	4.767611e-002
2.599818401232313e-002	-2.378237e+000	4.756165e-002
2.602208385509066e-002	-2.372065e+000	4.744449e-002
2.628294244390348e-002	-2.297504e+000	4.595651e-002
2.654380103271630e-002	-2.209315e+000	4.419505e-002
2.680465962152912e-002	-2.107498e+000	4.216011e-002
2.706551821034194e-002	-1.992052e+000	3.985168e-002
2.732637679915476e-002	-1.862979e+000	3.726977e-002
2.758723538796758e-002	-1.720277e+000	3.441437e-002
