Time (s),Channel 1 (V)
-0.2559652777777778,0.001053121110751311
-0.2559027777777778,0.001394819521233898
-0.2558402777777778,0.001394819521233898
-0.2557777777777778,0.001394819521233898
-0.2557152777777777,0.001394819521233898
-0.2556527777777778,0.001394819521233898
-0.2555902777777778,0.001394819521233898
-0.2555277777777778,0.001394819521233898
-0.2554652777777778,0.001394819521233898
-0.2554027777777778,0.001394819521233743
-0.2553402777777778,0.001053121110751466
-0.2552777777777778,0.001394819521233898
-0.2552152777777777,0.001053121110751311
-0.2551527777777778,0.001053121110751311
-0.2550902777777778,0.001053121110751311
-0.2550277777777778,0.001053121110751311
-0.2549652777777778,0.001394819521233898
-0.2549027777777778,0.001394819521233898
-0.2548402777777778,0.001394819521233898
-0.2547777777777778,0.001394819521233898
-0.2547152777777777,0.001053121110751311
-0.2546527777777778,0.001053121110751311
-0.2545902777777778,0.001053121110751311
-0.2545277777777778,0.001053121110751311
-0.2544652777777778,0.001053121110751311
-0.2544027777777778,0.001053121110751466
-0.2543402777777778,0.001394819521233743
-0.2542777777777778,0.001053121110751311
-0.2542152777777777,0.001053121110751311
-0.2541527777777778,0.001053121110751311
-0.2540902777777778,0.001053121110751311
-0.2540277777777778,0.001053121110751311
-0.2539652777777778,0.001053121110751311
-0.2539027777777778,0.001053121110751311
-0.2538402777777778,0.001053121110751311
-0.2537777777777778,0.001053121110751311
-0.2537152777777777,0.001053121110751311
-0.2536527777777778,0.001053121110751311
-0.2535902777777778,0.001053121110751311
-0.2535277777777778,0.001053121110751311
-0.2534652777777778,0.001053121110751311
-0.2534027777777778,0.001053121110751311
-0.2533402777777778,0.001053121110751311
-0.2532777777777778,0.001053121110751311
-0.2532152777777777,0.001053121110751155
-0.2531527777777778,0.000711422700268723
-0.2530902777777778,0.001053121110751311
-0.2530277777777778,0.001053121110751311
-0.2529652777777778,0.001053121110751311
-0.2529027777777778,0.001053121110751311
-0.2528402777777778,0.001053121110751311
-0.2527777777777778,0.000711422700268723
-0.2527152777777777,0.000711422700268723
-0.2526527777777778,0.000711422700268723
-0.2525902777777778,0.0003697242897861353
-0.2525277777777778,0.0007114227002685676
-0.2524652777777778,0.0003697242897861353
-0.2524027777777778,0.0003697242897859799
-0.2523402777777778,2.802587930370297e-05
-0.2522777777777778,2.802587930354761e-05
-0.2522152777777777,0.0003697242897861353
-0.2521527777777778,0.0003697242897861353
-0.2520902777777778,0.0003697242897861353
-0.2520277777777778,0.0003697242897861353
-0.2519652777777778,0.0003697242897861353
-0.2519027777777778,2.802587930370299e-05
-0.2518402777777778,0.0003697242897859799
-0.2517777777777778,0.0003697242897861353
-0.2517152777777777,2.802587930354761e-05
-0.2516527777777778,2.802587930354761e-05
-0.2515902777777778,2.802587930354761e-05
-0.2515277777777778,2.802587930354761e-05
-0.2514652777777778,2.802587930354761e-05
-0.2514027777777778,2.802587930354761e-05
-0.2513402777777778,2.802587930354761e-05
-0.2512777777777778,2.802587930354761e-05
-0.2512152777777777,2.802587930354761e-05
-0.2511527777777778,2.802587930354761e-05
-0.2510902777777778,-0.0003136725311790401
-0.2510277777777778,-0.0003136725311790401
-0.2509652777777778,-0.0003136725311790401
-0.2509027777777778,-0.0003136725311790401
-0.2508402777777778,-0.0003136725311790401
-0.2507777777777778,-0.0003136725311790401
-0.2507152777777777,-0.0003136725311790401
-0.2506527777777778,-0.0003136725311790401
-0.2505902777777778,-0.0003136725311790401
-0.2505277777777778,-0.0003136725311790401
-0.2504652777777778,-0.0003136725311790401
-0.2504027777777778,-0.0003136725311790401
-0.2503402777777778,-0.0003136725311790401
-0.2502777777777778,-0.0003136725311790401
-0.2502152777777777,-0.0006553709416616278
-0.2501527777777778,-0.0006553709416616278
-0.2500902777777778,-0.0006553709416616278
-0.2500277777777778,-0.0006553709416616278
-0.2499652777777778,-0.0006553709416616278
-0.2499027777777778,-0.0006553709416616278
-0.2498402777777778,-0.0006553709416616278
-0.2497777777777778,-0.0006553709416616278
-0.2497152777777778,-0.0006553709416616278
-0.2496527777777778,-0.0006553709416616278
-0.2495902777777778,-0.0006553709416616278
-0.2495277777777778,-0.0006553709416616278
-0.2494652777777778,-0.0006553709416616278
-0.2494027777777778,-0.0006553709416616278
-0.2493402777777778,-0.0006553709416616278
-0.2492777777777778,-0.0006553709416616278
-0.2492152777777778,-0.0009970693521442154
-0.2491527777777778,-0.0009970693521442154
-0.2490902777777778,-0.0009970693521442154
-0.2490277777777778,-0.0009970693521442154
-0.2489652777777778,-0.0009970693521442154
-0.2489027777777778,-0.0009970693521442154
-0.2488402777777778,-0.001338767762626803
-0.2487777777777778,-0.0009970693521442154
-0.2487152777777778,-0.0009970693521442154
-0.2486527777777778,-0.0009970693521442154
-0.2485902777777778,-0.0009970693521442154
-0.2485277777777778,-0.001338767762626803
-0.2484652777777778,-0.0009970693521442154
-0.2484027777777778,-0.0009970693521442154
-0.2483402777777778,-0.0009970693521442154
-0.2482777777777778,-0.0009970693521442154
-0.2482152777777778,-0.0009970693521442154
-0.2481527777777778,-0.0009970693521442154
-0.2480902777777778,-0.0009970693521442154
