1,220198
2,133052
3,115598
4,112462
5,94759
6,95708
7,102235
8,89054
9,90281
10,98421
11,88841
12,91427
13,97385
14,84901
15,84600
16,89576
17,79494
18,81655
19,86992
20,76460
21,77950
22,83500
23,74070
24,75533
25,81154
26,71966
27,73333
28,78330
29,69216
30,70605
31,75514
32,66675
33,67980
34,72788
35,64417
36,65693
37,70253
38,62212
39,63730
40,68194
41,60464
42,62038
43,66758
44,59254
45,60783
46,65397
47,58378
48,60103
49,64830
50,57855
51,59554
52,64400
53,57502
54,59394
55,64241
56,57456
57,59089
58,63917
59,57079
60,59074
61,63820
62,56987
63,58756
64,63493
65,56726
66,58498
67,63100
68,56407
69,58038
70,62441
71,55802
72,57497
73,62036
74,55320
75,57064
76,61521
77,54957
78,56736
79,61293
80,54776
81,56531
82,60875
83,54601
84,56405
85,60876
86,54552
87,56278
88,60975
89,54654
90,56369
91,60850
92,54402
93,56163
94,60605
95,54297
96,55935
97,60598
98,54124
99,55846
100,60566
101,54207
102,55980
103,60586
104,54180
105,55870
106,60476
107,54178
108,55989
109,60650
110,54201
111,55968
112,60591
113,54189
114,56106
115,60613
116,54068
117,55809
118,60217
119,53814
120,55648
121,60148
122,53920
123,55538
124,60321
125,53984
126,55918
127,60427
128,54225
129,55956
130,60660
131,54335
132,56215
133,60934
134,54694
135,56471
136,61180
137,54694
138,56794
139,61185
140,54833
141,56422
142,60916
143,54580
144,56289
145,60913
146,54311
147,56196
148,60726
149,54326
150,56195
151,60887
152,54454
153,56060
154,60778
155,54352
156,56155
157,60867
158,54395
159,56238
160,60780
161,54360
162,56147
163,60780
164,54323
165,55946
166,60375
167,53965
168,55750
169,60211
170,53944
171,55646
172,60365
173,54064
174,55912
175,60518
176,54154
177,55875
178,60465
179,53992
180,55815
181,60309
182,54040
183,55659
184,60321
185,53930
186,55647
187,60160
188,53767
189,55405
190,59852
191,53495
192,55282
193,59807
194,53540
195,55215
196,59838
197,53567
198,55308
199,59882
200,53586
201,55264
202,59716
203,53420
204,55247
205,59765
206,53386
207,55177
208,59513
209,53357
210,54943
211,59439
212,53150
213,54778
214,59143
215,52916
216,54632
217,59142
218,52993
219,54684
220,59193
221,53037
222,54837
223,59389
224,53161
225,54897
226,59407
227,53239
228,54969
229,59386
230,53363
231,54932
232,59491
233,53215
234,54959
235,59503
236,53219
237,54779
238,59451
239,53044
240,54906
241,59389
242,53238
243,54969
244,59636
245,53348
246,55242
247,59845
248,53559
249,55123
