Sample-#, CA-V, CA-I, CB-V, CB-I ,scaled,change,,,,
0,0.999566495,-29.45014834,2.488158703,0.16801148,0.496052901,change,,,,
0.00001,0.999566495,-29.42683548,2.48839283,0.011878609,0.496130943333333,0.000234127000000139,,,,
0.00002,0.999410152,-29.44237739,2.488548994,-0.027154607,0.496182998,0.000156163999999848,,,,
0.00003,0.999566495,-29.47346121,2.488471031,0.08227404,0.496157010333333,-7.79629999998477E-05,,,,
0.00004,0.999566495,-29.41906452,2.488471031,0.14459154,0.496157010333333,0,,,,
0.00005,0.999488354,-29.29472551,2.488236904,0.089945039,0.496078968,-0.000234127000000139,,,,
0.00006,0.999566495,-29.44237739,2.488158703,0.074331758,0.496052901,-0.000078201,,,,
0.00007,0.999488354,-29.51231785,2.488236904,0.004071966,0.496078968,0.000078201,,,,
0.00008,0.999488354,-29.44237739,2.488314867,0.089945039,0.496104955666667,7.79630000002918E-05,,,,
0.00009,0.999488354,-29.24032882,2.488314867,0.011878609,0.496104955666667,0,,,,
0.0001,0.999488354,-29.30249646,2.48839283,0.113364971,0.496130943333333,7.79629999998477E-05,,,,
0.00011,0.999410152,-29.52785976,2.48839283,0.074331758,0.496130943333333,0,,,,
0.00012,0.999410152,-29.42683548,2.488314867,0.105558327,0.496104955666667,-7.79629999998477E-05,,,,
0.00013,0.999410152,-29.38797884,2.488314867,0.011878609,0.496104955666667,0,,,,
0.00014,0.999332011,-29.38797884,2.48839283,0.089945039,0.496130943333333,7.79629999998477E-05,,,,
0.00015,0.999566495,-29.32581119,2.488314867,0.082138395,0.496104955666667,-7.79629999998477E-05,,,,
0.00016,0.999488354,-29.40352261,2.488158703,0.074331758,0.496052901,-0.000156164000000292,,,,
0.00017,0.999644697,-29.39574979,2.488236904,0.082138395,0.496078968,0.000078201,,,,
0.00018,0.999410152,-29.40352261,2.488236904,0.066525114,0.496078968,0,,,,
0.00019,0.999488354,-29.35689501,2.48839283,0.160204829,0.496130943333333,0.000155926000000139,,,,
0.0002,0.999488354,-29.41129357,2.488471031,0.035298537,0.496157010333333,0.000078201,,,,
0.00021,0.999488354,-29.31026742,2.48839283,0.160204829,0.496130943333333,-0.000078201,,,,
0.00022,0.999488354,-29.2791836,2.48839283,0.074331758,0.496130943333333,0,,,,
