Sample-#, CA-V, CA-I, CB-V, CB-I ,,,Sample-#, CA-V, CA-I, CB-V, CB-I 
0,4.002048016,29.48892117,3.992842674,0.043105181,,,,1.000682672,9.49630705666667,0.997614224666667,-0.318964939666667
0.00001,4.001969814,29.59755436,3.992842674,0.05871847,,,,1.00065660466667,9.53251812,0.997614224666667,-0.31376051
0.00002,4.002126217,29.48116139,3.992998838,0.14459154,,,,1.000708739,9.49372046333333,0.997666279333333,-0.285136153333333
0.00003,4.001969814,29.59755436,3.993155003,0.105558327,,,,1.00065660466667,9.53251812,0.997718334333333,-0.298147224333333
0.00004,4.001969814,29.58203666,3.993232965,0.097751683,,,,1.00065660466667,9.52734555333333,0.997744321666667,-0.300749439
0.00005,4.002048016,29.47340161,3.993232965,0.035298537,,,,1.000682672,9.49113387,0.997744321666667,-0.321567154333333
0.00006,4.001969814,29.5277182,3.993155003,0.14459154,,,,1.00065660466667,9.5092394,0.997718334333333,-0.285136153333333
0.00007,4.001969814,29.51995842,3.993155003,0.121171615,,,,1.00065660466667,9.50665280666667,0.997718334333333,-0.292942795
0.00008,4.001969814,29.62859347,3.993155003,-0.050574537,,,,1.00065660466667,9.54286449,0.997718334333333,-0.350191512333333
0.00009,4.002048016,29.5277182,3.993232965,0.144830323,,,,1.000682672,9.5092394,0.997744321666667,-0.285056559
0.0001,4.001969814,29.45012227,3.993311167,0.21485133,,,,1.00065660466667,9.48337409,0.997770389,-0.261716223333333
0.00011,4.002048016,29.65187281,3.993467331,0.05871847,,,,1.000682672,9.55062427,0.997822443666667,-0.31376051
0.00012,4.001969814,29.51219864,3.993623495,0.097751683,,,,1.00065660466667,9.50406621333333,0.997874498333333,-0.300749439
0.00013,4.001969814,29.58979458,3.993545294,0.050911825,,,,1.00065660466667,9.52993152666667,0.997848431333333,-0.316362725
0.00014,4.002048016,29.64411303,3.993467331,0.05871847,,,,1.000682672,9.54803767666667,0.997822443666667,-0.31376051
0.00015,4.001969814,29.58203666,3.99338913,0.074331758,,,,1.00065660466667,9.52734555333333,0.997796376666667,-0.308556080666667
0.00016,4.002048016,29.48892117,3.993545294,0.027491895,,,,1.000682672,9.49630705666667,0.997848431333333,-0.324169368333333
0.00017,4.001969814,29.47340161,3.993701458,0.035298537,,,,1.00065660466667,9.49113387,0.997900486,-0.321567154333333
0.00018,4.002048016,29.53547798,3.993779421,0.019685252,,,,1.000682672,9.51182599333333,0.997926473666667,-0.326771582666667
0.00019,4.002048016,29.5277182,3.993935585,0.128978252,,,,1.000682672,9.5092394,0.997978528333333,-0.290340582666667
0.0002,4.001969814,29.50443886,3.993779421,0.160204829,,,,1.00065660466667,9.50147962,0.997926473666667,-0.279931723666667
0.00021,4.001969814,29.48892117,3.993701458,0.121171615,,,,1.00065660466667,9.49630705666667,0.997900486,-0.292942795
0.00022,4.001891613,29.54323776,3.993545294,0.074331758,,,,1.00063053766667,9.51441258666667,0.997848431333333,-0.308556080666667
0.00023,4.002126217,29.55875732,3.993623495,0.097751683,,,,1.000708739,9.51958577333333,0.997874498333333,-0.300749439
0.00024,4.001969814,29.67515215,3.993779421,0.128978252,,,,1.00065660466667,9.55838405,0.997926473666667,-0.290340582666667
0.00025,4.001969814,29.61307392,3.993935585,0.136784904,,,,1.00065660466667,9.53769130666667,0.997978528333333,-0.287738365333333
0.00026,4.001969814,29.55875732,3.994247913,0.097751683,,,,1.00065660466667,9.51958577333333,0.998082637666667,-0.300749439
0.00027,4.001969814,29.64411303,3.994091749,0.121171615,,,,1.00065660466667,9.54803767666667,0.998030583,-0.292942795
0.00028,4.001969814,29.5665171,3.993935585,0.05871847,,,,1.00065660466667,9.52217236666667,0.997978528333333,-0.31376051
0.00029,4.002048016,29.58203666,3.993857622,0.019685252,,,,1.000682672,9.52734555333333,0.997952540666667,-0.326771582666667
0.0003,4.002126217,29.51995842,3.993857622,0.089945039,,,,1.000708739,9.50665280666667,0.997952540666667,-0.303351653666667
0.00031,4.002048016,29.55099754,3.993935585,0.121171615,,,,1.000682672,9.51699918,0.997978528333333,-0.292942795
0.00032,4.002048016,29.48892117,3.994091749,0.066525114,,,,1.000682672,9.49630705666667,0.998030583,-0.311158295333333
0.00033,4.001969814,29.64411303,3.994247913,0.16801148,,,,1.00065660466667,9.54803767666667,0.998082637666667,-0.277329506666667
0.00034,4.002048016,29.60531414,3.994325876,0.043105181,,,,1.000682672,9.53510471333333,0.998108625333333,-0.318964939666667
0.00035,4.001891613,29.58979458,3.994325876,0.050911825,,,,1.00063053766667,9.52993152666667,0.998108625333333,-0.316362725
0.00036,4.001891613,29.54323776,3.994247913,0.183624754,,,,1.00063053766667,9.51441258666667,0.998082637666667,-0.272125082
0.00037,4.002048016,29.58979458,3.99416995,0.097751683,,,,1.000682672,9.52993152666667,0.99805665,-0.300749439
0.00038,4.002048016,29.48892117,3.99416995,0.14459154,,,,1.000682672,9.49630705666667,0.99805665,-0.285136153333333
0.00039,4.002048016,29.55875732,3.99416995,0.089945039,,,,1.000682672,9.51958577333333,0.99805665,-0.303351653666667
0.0004,4.002048016,29.54323776,3.994325876,0.082138395,,,,1.000682672,9.51441258666667,0.998108625333333,-0.305953868333333
0.00041,4.001969814,29.53547798,3.994404078,0.082138395,,,,1.00065660466667,9.51182599333333,0.998134692666667,-0.305953868333333
0.00042,4.002126217,29.55099754,3.99448204,0.089945039,,,,1.000708739,9.51699918,0.99816068,-0.303351653666667
0.00043,4.002048016,29.59755436,3.99448204,0.14459154,,,,1.000682672,9.53251812,0.99816068,-0.285136153333333
0.00044,4.001969814,29.48892117,3.994325876,0.011878609,,,,1.00065660466667,9.49630705666667,0.998108625333333,-0.329373797
0.00045,4.002048016,29.51219864,3.994404078,0.082138395,,,,1.000682672,9.50406621333333,0.998134692666667,-0.305953868333333
0.00046,4.001969814,29.49668095,3.994325876,0.105558327,,,,1.00065660466667,9.49889365,0.998108625333333,-0.298147224333333
0.00047,4.001969814,29.60531414,3.994560242,0.105558327,,,,1.00065660466667,9.53510471333333,0.998186747333333,-0.298147224333333
0.00048,4.001969814,29.48116139,3.994560242,0.066525114,,,,1.00065660466667,9.49372046333333,0.998186747333333,-0.311158295333333
0.00049,4.002048016,29.61307392,3.994638205,0.136784904,,,,1.000682672,9.53769130666667,0.998212735,-0.287738365333333
0.0005,4.001969814,29.57427688,3.994716406,0.050911825,,,,1.00065660466667,9.52475896,0.998238802,-0.316362725
0.00051,4.002048016,29.51995842,3.994794369,0.011878609,,,,1.000682672,9.50665280666667,0.998264789666667,-0.329373797
0.00052,4.002048016,29.55875732,3.994872332,0.027491895,,,,1.000682672,9.51958577333333,0.998290777333333,-0.324169368333333
0.00053,4.001969814,29.5665171,3.994794369,0.066525114,,,,1.00065660466667,9.52217236666667,0.998264789666667,-0.311158295333333
0.00054,4.001813889,29.55099754,3.994794369,0.16801148,,,,1.00060462966667,9.51699918,0.998264789666667,-0.277329506666667
0.00055,4.001969814,29.51995842,3.994716406,0.027491895,,,,1.00065660466667,9.50665280666667,0.998238802,-0.324169368333333
0.00056,4.002048016,29.51219864,3.994716406,0.066525114,,,,1.000682672,9.50406621333333,0.998238802,-0.311158295333333
0.00057,4.001969814,29.5277182,3.994716406,0.011878609,,,,1.00065660466667,9.5092394,0.998238802,-0.329373797
0.00058,4.001969814,29.45788205,3.994794369,0.097751683,,,,1.00065660466667,9.48596068333333,0.998264789666667,-0.300749439
0.00059,4.001969814,29.49668095,3.994872332,-0.050574537,,,,1.00065660466667,9.49889365,0.998290777333333,-0.350191512333333
0.0006,4.002048016,29.5665171,3.994950533,0.058815436,,,,1.000682672,9.52217236666667,0.998316844333333,-0.313728188
0.00061,4.002048016,29.50443886,3.994950533,0.043105181,,,,1.000682672,9.50147962,0.998316844333333,-0.318964939666667
0.00062,4.001891613,29.50443886,3.994950533,0.05871847,,,,1.00063053766667,9.50147962,0.998316844333333,-0.31376051
0.00063,4.002048016,29.44236249,3.994794369,0.011878609,,,,1.000682672,9.48078749666667,0.998264789666667,-0.329373797
0.00064,4.002126217,29.62859347,3.994872332,0.043105181,,,,1.000708739,9.54286449,0.998290777333333,-0.318964939666667
0.00065,4.002048016,29.45788205,3.995028496,0.082138395,,,,1.000682672,9.48596068333333,0.998342832,-0.305953868333333
0.00066,4.001969814,29.48892117,3.995106697,0.097751683,,,,1.00065660466667,9.49630705666667,0.998368899,-0.300749439
0.00067,4.001969814,29.61307392,3.995106697,0.113364971,,,,1.00065660466667,9.53769130666667,0.998368899,-0.295545009666667
0.00068,4.001969814,29.59755436,3.995028496,0.14459154,,,,1.00065660466667,9.53251812,0.998342832,-0.285136153333333
0.00069,4.001969814,29.51995842,3.995028496,0.105558327,,,,1.00065660466667,9.50665280666667,0.998342832,-0.298147224333333
0.0007,4.001969814,29.39580567,3.995028496,0.105558327,,,,1.00065660466667,9.46526855666667,0.998342832,-0.298147224333333
0.00071,4.002048016,29.42684293,3.99518466,0.121171615,,,,1.000682672,9.47561431,0.998394886666667,-0.292942795
0.00072,4.001969814,29.55099754,3.995262623,0.050911825,,,,1.00065660466667,9.51699918,0.998420874333333,-0.316362725
0.00073,4.002048016,29.54323776,3.995262623,0.175818117,,,,1.000682672,9.51441258666667,0.998420874333333,-0.274727294333333
0.00074,4.001969814,29.51995842,3.995418787,0.074331758,,,,1.00065660466667,9.50665280666667,0.998472929,-0.308556080666667
0.00075,4.001969814,29.62859347,3.995262623,0.105558327,,,,1.00065660466667,9.54286449,0.998420874333333,-0.298147224333333
0.00076,4.001891613,29.58979458,3.99518466,-0.019347965,,,,1.00063053766667,9.52993152666667,0.998394886666667,-0.339782655
0.00077,4.001969814,29.5277182,3.99518466,0.105732652,,,,1.00065660466667,9.5092394,0.998394886666667,-0.298089116
0.00078,4.001969814,29.47340161,3.995340824,-0.027154607,,,,1.00065660466667,9.49113387,0.998446941333333,-0.342384869
0.00079,4.002048016,29.58203666,3.995496988,0.199567075,,,,1.000682672,9.52734555333333,0.998498996,-0.266810975
0.0008,4.002048016,29.58979458,3.995653152,0.027491895,,,,1.000682672,9.52993152666667,0.998551050666667,-0.324169368333333
0.00081,4.001969814,29.63635325,3.995731115,0.222657982,,,,1.00065660466667,9.54545108333333,0.998577038333333,-0.259114006
0.00082,4.001969814,29.62859347,3.995731115,0.222657982,,,,1.00065660466667,9.54286449,0.998577038333333,-0.259114006
0.00083,4.001969814,29.62859347,3.995418787,0.246077892,,,,1.00065660466667,9.54286449,0.998472929,-0.251307369333333
0.00084,4.001969814,29.58203666,3.995262623,0.089945039,,,,1.00065660466667,9.52734555333333,0.998420874333333,-0.303351653666667
0.00085,4.002048016,29.45012227,3.995262623,0.121171615,,,,1.000682672,9.48337409,0.998420874333333,-0.292942795
0.00086,4.001891613,29.57427688,3.995418787,-0.003734678,,,,1.00063053766667,9.52475896,0.998472929,-0.334578226
0.00087,4.002048016,29.53547798,3.995574951,0.00407869,,,,1.000682672,9.51182599333333,0.998524983666667,-0.33197377
0.00088,4.001969814,29.60531414,3.995574951,0.175818117,,,,1.00065660466667,9.53510471333333,0.998524983666667,-0.274727294333333
0.00089,4.002126217,29.46564183,3.995574951,0.089945039,,,,1.000708739,9.48854727666667,0.998524983666667,-0.303351653666667
0.0009,4.001891613,29.54323776,3.995496988,0.089945039,,,,1.00063053766667,9.51441258666667,0.998498996,-0.303351653666667
0.00091,4.002048016,29.55875732,3.995496988,0.097751683,,,,1.000682672,9.51958577333333,0.998498996,-0.300749439
0.00092,4.001969814,29.62859347,3.995574951,0.105558327,,,,1.00065660466667,9.54286449,0.998524983666667,-0.298147224333333
0.00093,4.002048016,29.55875732,3.995653152,0.175818117,,,,1.000682672,9.51958577333333,0.998551050666667,-0.274727294333333
0.00094,4.002048016,29.60531414,3.995653152,0.199238042,,,,1.000682672,9.53510471333333,0.998551050666667,-0.266920652666667
0.00095,4.001969814,29.49668095,3.995653152,0.136784904,,,,1.00065660466667,9.49889365,0.998551050666667,-0.287738365333333
0.00096,4.002048016,29.49668095,3.995653152,0.105558327,,,,1.000682672,9.49889365,0.998551050666667,-0.298147224333333
0.00097,4.001891613,29.45788205,3.995574951,0.128978252,,,,1.00063053766667,9.48596068333333,0.998524983666667,-0.290340582666667
0.00098,4.002048016,29.55099754,3.995574951,-0.066187822,,,,1.000682672,9.51699918,0.998524983666667,-0.355395940666667
0.00099,4.002126217,29.55099754,3.995653152,0.121371719,,,,1.000708739,9.51699918,0.998551050666667,-0.292876093666667
0.001,4.001969814,29.57427688,3.995809078,-0.019347965,,,,1.00065660466667,9.52475896,0.998603026,-0.339782655
0.00101,4.001969814,29.61307392,3.99588728,0.090093577,,,,1.00065660466667,9.53769130666667,0.998629093333333,-0.303302141
0.00102,4.001969814,29.48116139,3.995965242,0.043105181,,,,1.00065660466667,9.49372046333333,0.998655080666667,-0.318964939666667
0.00103,4.001969814,29.46564183,3.99588728,0.019685252,,,,1.00065660466667,9.48854727666667,0.998629093333333,-0.326771582666667
0.00104,4.002126217,29.43460271,3.995809078,0.011878609,,,,1.000708739,9.47820090333333,0.998603026,-0.329373797
0.00105,4.002126217,29.46564183,3.995731115,0.113364971,,,,1.000708739,9.48854727666667,0.998577038333333,-0.295545009666667
0.00106,4.002048016,29.49668095,3.995574951,0.066525114,,,,1.000682672,9.49889365,0.998524983666667,-0.311158295333333
0.00107,4.002048016,29.45788205,3.995653152,0.14459154,,,,1.000682672,9.48596068333333,0.998551050666667,-0.285136153333333
0.00108,4.002126217,29.51219864,3.995731115,0.027491895,,,,1.000708739,9.50406621333333,0.998577038333333,-0.324169368333333
0.00109,4.002048016,29.62083369,3.995965242,0.050911825,,,,1.000682672,9.54027789666667,0.998655080666667,-0.316362725
0.0011,4.002048016,29.49668095,3.996043444,0.105558327,,,,1.000682672,9.49889365,0.998681148,-0.298147224333333
0.00111,4.002048016,29.54323776,3.996043444,0.066525114,,,,1.000682672,9.51441258666667,0.998681148,-0.311158295333333
0.00112,4.002126217,29.51995842,3.99588728,0.128978252,,,,1.000708739,9.50665280666667,0.998629093333333,-0.290340582666667
0.00113,4.002126217,29.48892117,3.99588728,0.05871847,,,,1.000708739,9.49630705666667,0.998629093333333,-0.31376051
0.00114,4.001969814,29.45788205,3.995965242,0.05871847,,,,1.00065660466667,9.48596068333333,0.998655080666667,-0.31376051
0.00115,4.002204418,29.45788205,3.995965242,0.011878609,,,,1.000734806,9.48596068333333,0.998655080666667,-0.329373797
0.00116,4.002048016,29.58979458,3.996043444,0.128978252,,,,1.000682672,9.52993152666667,0.998681148,-0.290340582666667
0.00117,4.002126217,29.61307392,3.996043444,0.066525114,,,,1.000708739,9.53769130666667,0.998681148,-0.311158295333333
0.00118,4.002048016,29.54323776,3.99588728,0.05871847,,,,1.000682672,9.51441258666667,0.998629093333333,-0.31376051
0.00119,4.002126217,29.47340161,3.99588728,0.191431405,,,,1.000708739,9.49113387,0.998629093333333,-0.269522865
0.0012,4.002048016,29.55099754,3.996043444,0.074331758,,,,1.000682672,9.51699918,0.998681148,-0.308556080666667
0.00121,4.001969814,29.55099754,3.996199608,0.043105181,,,,1.00065660466667,9.51699918,0.998733202666667,-0.318964939666667
0.00122,4.002126217,29.55099754,3.996277571,0.082138395,,,,1.000708739,9.51699918,0.998759190333333,-0.305953868333333
0.00123,4.001969814,29.57427688,3.996277571,0.105558327,,,,1.00065660466667,9.52475896,0.998759190333333,-0.298147224333333
0.00124,4.002126217,29.65187281,3.996043444,0.074331758,,,,1.000708739,9.55062427,0.998681148,-0.308556080666667
0.00125,4.002126217,29.45788205,3.996043444,-0.019347965,,,,1.000708739,9.48596068333333,0.998681148,-0.339782655
0.00126,4.001969814,29.60531414,3.995965242,0.08227404,,,,1.00065660466667,9.53510471333333,0.998655080666667,-0.305908653333333
0.00127,4.002048016,29.63635325,3.996121407,0.152398192,,,,1.000682672,9.54545108333333,0.998707135666667,-0.282533936
0.00128,4.002048016,29.51995842,3.996043444,0.14459154,,,,1.000682672,9.50665280666667,0.998681148,-0.285136153333333
0.00129,4.002126217,29.57427688,3.996199608,0.066525114,,,,1.000708739,9.52475896,0.998733202666667,-0.311158295333333
0.0013,4.002048016,29.55875732,3.996043444,0.097751683,,,,1.000682672,9.51958577333333,0.998681148,-0.300749439
0.00131,4.002048016,29.43460271,3.996043444,-0.050574537,,,,1.000682672,9.47820090333333,0.998681148,-0.350191512333333
0.00132,4.002126217,29.45012227,3.996121407,0.066634973,,,,1.000708739,9.48337409,0.998707135666667,-0.311121675666667
0.00133,4.001969814,29.5277182,3.996199608,0.074331758,,,,1.00065660466667,9.5092394,0.998733202666667,-0.308556080666667
0.00134,4.002048016,29.47340161,3.996355534,0.097751683,,,,1.000682672,9.49113387,0.998785178,-0.300749439
0.00135,4.002048016,29.46564183,3.996355534,0.050911825,,,,1.000682672,9.48854727666667,0.998785178,-0.316362725
0.00136,4.002048016,29.5277182,3.996199608,0.066525114,,,,1.000682672,9.5092394,0.998733202666667,-0.311158295333333
0.00137,4.001969814,29.51219864,3.996277571,0.191431405,,,,1.00065660466667,9.50406621333333,0.998759190333333,-0.269522865
0.00138,4.002048016,29.51219864,3.996121407,0.05871847,,,,1.000682672,9.50406621333333,0.998707135666667,-0.31376051
0.00139,4.002048016,29.58979458,3.996277571,0.074331758,,,,1.000682672,9.52993152666667,0.998759190333333,-0.308556080666667
0.0014,4.002048016,29.48892117,3.996355534,0.152398192,,,,1.000682672,9.49630705666667,0.998785178,-0.282533936
0.00141,4.002048016,29.42684293,3.996355534,0.128978252,,,,1.000682672,9.47561431,0.998785178,-0.290340582666667
0.00142,4.001969814,29.64411303,3.996433735,-0.027154607,,,,1.00065660466667,9.54803767666667,0.998811245,-0.342384869
0.00143,4.001969814,29.55099754,3.996355534,0.105732652,,,,1.00065660466667,9.51699918,0.998785178,-0.298089116
0.00144,4.001969814,29.51995842,3.996355534,0.152398192,,,,1.00065660466667,9.50665280666667,0.998785178,-0.282533936
0.00145,4.001969814,29.55099754,3.996433735,0.097751683,,,,1.00065660466667,9.51699918,0.998811245,-0.300749439
0.00146,4.002048016,29.67515215,3.996433735,0.043105181,,,,1.000682672,9.55838405,0.998811245,-0.318964939666667
0.00147,4.001969814,29.68291007,3.996433735,0.050911825,,,,1.00065660466667,9.56097002333333,0.998811245,-0.316362725
